#{"t_start": 1612828669.4251776, "env_id": "Rotpen-250-v0"}
r,l,t
0.000298,1500,2910.568218
0.000299,1500,2917.098584
0.000303,1500,2921.240856
0.0003,1500,2927.824593
0.000302,1500,2934.301238
0.0003,1500,2938.54808
0.000298,1500,2944.502172
0.0003,1500,2951.126556
0.000297,1500,2957.748261
0.000298,1500,2962.008994
0.000301,1500,2968.688888
0.000298,1500,2975.051831
0.000298,1500,2981.723744
0.000303,1500,2985.90528
0.000301,1500,2992.607953
0.000303,1500,2999.180894
0.000304,1500,3003.116341
0.000301,1500,3009.620254
0.000305,1500,3016.155897
0.000305,1500,3022.806582
0.000302,1500,3026.95422
0.000304,1500,3033.406878
0.000298,1500,3040.076438
0.000304,1500,3046.71326
0.000308,1500,3050.990833
0.000303,1500,3057.578649
0.000307,1500,3064.01585
0.000309,1500,3070.63308
0.000306,1500,3074.836444
0.000303,1500,3081.542184
0.00031,1500,3088.057418
0.000305,1500,3092.109503
0.00031,1500,3098.599151
0.000308,1500,3105.315574
0.00031,1500,3112.06545
0.000308,1500,3116.052167
0.000308,1500,3122.510724
0.000308,1500,3128.88585
0.000309,1500,3135.537019
0.000309,1500,3139.738889
0.000308,1500,3146.359732
0.000313,1500,3152.903975
0.000309,1500,3159.485024
0.000308,1500,3163.677498
0.000308,1500,3170.224246
0.000308,1500,3176.926399
0.000302,1500,3180.851632
0.000304,1500,3187.404519
0.000313,1500,3194.050172
0.0003,1500,3200.661448
0.000311,1500,3204.707459
0.000308,1500,3211.124027
0.00031,1500,3217.676919
0.000309,1500,3224.316013
0.000307,1500,3228.524117
0.00031,1500,3235.219969
0.000311,1500,3241.703647
0.000309,1500,3248.165195
0.000315,1500,3252.429541
0.000314,1500,3259.059204
0.000311,1500,3265.539365
0.000308,1500,3269.630523
0.00031,1500,3276.323531
0.000306,1500,3283.005563
0.000305,1500,3289.452827
0.000303,1500,3293.773757
0.000312,1500,3300.281891
0.00031,1500,3306.946394
0.000307,1500,3313.402718
0.000308,1500,3317.553291
0.00031,1500,3323.777606
0.000312,1500,3330.128567
0.000304,1500,3336.77473
0.000307,1500,3340.832194
0.000309,1500,3347.474804
0.000316,1500,3354.205295
0.000311,1500,3358.35303
0.000309,1500,3364.808842
0.000305,1500,3371.392444
0.000307,1500,3378.108603
0.00031,1500,3382.304507
0.000307,1500,3388.926349
0.000306,1500,3395.441163
0.000307,1500,3401.924911
0.000303,1500,3406.082431
0.000307,1500,3412.855365
0.000306,1500,3419.33576
0.000302,1500,3425.720212
0.000311,1500,3429.856518
0.000311,1500,3436.551308
0.000308,1500,3443.300426
0.000309,1500,3447.40658
0.000312,1500,3453.902526
0.000304,1500,3460.535745
0.000312,1500,3467.226433
0.000309,1500,3471.383255
0.000304,1500,3478.034091
0.00031,1500,3484.389144
0.00031,1500,3490.937807
0.000312,1500,3495.191489
0.000301,1500,3501.715583
0.00031,1500,3508.327063
0.000311,1500,3512.298516
0.000309,1500,3518.788799
0.000308,1500,3525.582306
0.000303,1500,3531.966446
0.000312,1500,3536.135642
0.000308,1500,3542.649652
0.000303,1500,3549.022932
0.000301,1500,3555.619919
0.000304,1500,3559.681404
0.00031,1500,3566.344668
0.000308,1500,3572.817084
0.000305,1500,3579.510524
0.000313,1500,3583.702808
0.000307,1500,3590.222691
0.000305,1500,3596.981805
0.000313,1500,3601.088715
0.000308,1500,3607.284494
0.000309,1500,3613.907248
0.000308,1500,3620.485156
0.000313,1500,3624.72216
0.000308,1500,3631.104656
0.000308,1500,3637.641191
0.000312,1500,3644.218607
0.000309,1500,3648.466845
0.000308,1500,3655.215455
0.000308,1500,3661.450138
0.000307,1500,3668.209975
0.000312,1500,3672.220137
0.000309,1500,3678.771432
0.000306,1500,3685.478853
0.000311,1500,3689.627533
0.000309,1500,3696.223211
0.000302,1500,3702.621914
0.000306,1500,3709.202416
0.000311,1500,3713.380615
0.00031,1500,3719.861208
0.000307,1500,3726.491688
0.000306,1500,3733.011641
0.000311,1500,3736.96362
0.000307,1500,3743.592854
0.000304,1500,3749.470644
0.000311,1500,3756.035594
0.000304,1500,3759.974241
0.000309,1500,3766.578779
0.000308,1500,3773.157325
0.000307,1500,3777.267311
0.000307,1500,3783.80722
0.000309,1500,3790.265003
0.000305,1500,3796.888286
0.000311,1500,3801.090477
0.000306,1500,3807.670887
0.000311,1500,3814.270772
0.000313,1500,3820.814801
0.000303,1500,3825.036873
0.000306,1500,3831.687526
0.000309,1500,3838.091566
0.000305,1500,3844.599707
0.000301,1500,3848.741968
0.000312,1500,3855.258484
0.000308,1500,3861.800108
0.000309,1500,3865.932509
0.000304,1500,3872.437787
0.000309,1500,3878.971673
0.00031,1500,3885.5699
0.000307,1500,3889.570213
0.000304,1500,3896.023911
0.000308,1500,3902.45262
0.000309,1500,3909.007731
0.000306,1500,3913.200143
