explained_variance,policy_loss,value_loss,fps,ep_reward_mean,ep_len_mean,time_elapsed,approxkl,total_timesteps,clipfrac,serial_timesteps,n_updates,policy_entropy
0.8549404889345169,-0.0031938504,6.3955476e-08,264,0.00029434343434343434,1500.0,567.2647142410278,0.0045365505,149504,0.050390624,149504,73,1.3010961
0.8205520510673523,-0.001511452,9.202898e-08,253,0.00029449,1500.0,575.0060675144196,0.0039631915,151552,0.04575195,151552,74,1.3149546
0.9168148562312126,-0.00028704217,5.89561e-06,251,0.00029446,1500.0,583.0892994403839,0.0021259156,153600,0.015332031,153600,75,1.313544
0.9253619164228439,-0.0020363717,1.3540387e-08,262,0.00029449,1500.0,591.2284183502197,0.0039069224,155648,0.04160156,155648,76,1.3084861
0.8542943447828293,-0.0009576805,2.102335e-08,270,0.00029459,1500.0,599.0415170192719,0.0026691272,157696,0.021240234,157696,77,1.2980908
0.8728774785995483,-0.0025743137,6.636137e-08,252,0.00029467999999999996,1500.0,606.6111931800842,0.0046767537,159744,0.053808592,159744,78,1.287837
0.915970116853714,-0.0042941943,1.8245207e-06,254,0.00029484,1500.0,614.7218902111053,0.004785149,161792,0.052685548,161792,79,1.2730037
0.806062787771225,-0.00087442866,8.9035396e-08,263,0.00029501999999999995,1500.0,622.7752482891083,0.0027453515,163840,0.026611328,163840,80,1.2617927
0.8208373934030533,-0.0016970029,1.2686777e-07,256,0.00029517,1500.0,630.54270362854,0.0026854796,165888,0.025390625,165888,81,1.2685044
0.8126706629991531,-0.0035526205,2.8066762e-07,252,0.00029532,1500.0,638.5170876979828,0.0028900704,167936,0.029736329,167936,82,1.2645197
0.8432213515043259,-0.0021820527,6.7143656e-06,250,0.00029566,1500.0,646.6260871887207,0.0031968136,169984,0.034765624,169984,83,1.2638245
0.6750636994838715,-0.0015039147,2.1020091e-07,257,0.00029585,1500.0,654.7936913967133,0.0045889947,172032,0.05390625,172032,84,1.2603619
0.588828057050705,-0.0003916449,2.0053605e-07,264,0.00029628,1500.0,662.7599384784698,0.0032150883,174080,0.031054687,174080,85,1.2502515
0.7174253463745117,-0.002894759,3.648017e-07,251,0.00029648,1500.0,670.5014176368713,0.005689088,176128,0.05834961,176128,86,1.2280678
0.752790167927742,-0.0003547373,2.4172155e-07,253,0.00029673000000000004,1500.0,678.6372332572937,0.0020260338,178176,0.013818359,178176,87,1.2000129
0.8896117731928825,-0.002283888,1.2421235e-06,264,0.00029714,1500.0,686.7087261676788,0.0046673515,180224,0.052978516,180224,88,1.197387
0.9013543128967285,-0.0008432609,7.0481306e-08,261,0.00029737,1500.0,694.4544177055359,0.0027195388,182272,0.025341798,182272,89,1.2042084
0.8410433083772659,-0.00087278616,6.652554e-07,248,0.00029759,1500.0,702.2762846946716,0.0033243955,184320,0.035058595,184320,90,1.203232
0.7927104532718658,-0.002099533,1.1492939e-05,262,0.00029803999999999996,1500.0,710.5158977508545,0.0041247243,186368,0.044628907,186368,91,1.201371
0.7248827517032623,-0.0016630705,1.2500512e-08,267,0.00029827999999999994,1500.0,718.3154656887054,0.0039265184,188416,0.042285156,188416,92,1.1926734
0.9139473512768745,-0.002762076,7.616352e-09,257,0.00029850999999999993,1500.0,725.9838101863861,0.0039015755,190464,0.036083985,190464,93,1.1769944
